position,m1_roi,m2_roi,old_roi,fc_roi,aal_code,aal_name,aal_index,overlap_purity,match
0,YCG:1|Precentral_L,YCG:1|Precentral_L,AALcode:2001,AALcode:2001,2001,Precentral_L,1,0.904,yes
1,YCG:2|Precentral_R,YCG:2|Precentral_R,AALcode:2002,AALcode:2002,2002,Precentral_R,2,0.859,yes
2,YCG:3|Frontal_Sup_L,YCG:3|Frontal_Sup_L,AALcode:2101,AALcode:2101,2101,Frontal_Sup_L,3,0.917,yes
3,YCG:4|Frontal_Sup_R,YCG:4|Frontal_Sup_R,AALcode:2102,AALcode:2102,2102,Frontal_Sup_R,4,0.908,yes
4,YCG:5|Frontal_Sup_Orb_L,YCG:5|Frontal_Sup_Orb_L,AALcode:2111,AALcode:2111,2111,Frontal_Sup_Orb_L,5,0.725,yes
5,YCG:6|Frontal_Sup_Orb_R,YCG:6|Frontal_Sup_Orb_R,AALcode:2112,AALcode:2112,2112,Frontal_Sup_Orb_R,6,0.845,yes
6,YCG:7|Frontal_Mid_L,YCG:7|Frontal_Mid_L,AALcode:2201,AALcode:2201,2201,Frontal_Mid_L,7,0.939,yes
7,YCG:8|Frontal_Mid_R,YCG:8|Frontal_Mid_R,AALcode:2202,AALcode:2202,2202,Frontal_Mid_R,8,0.913,yes
8,YCG:9|Frontal_Mid_Orb_L,YCG:9|Frontal_Mid_Orb_L,AALcode:2211,AALcode:2211,2211,Frontal_Mid_Orb_L,9,0.813,yes
9,YCG:10|Frontal_Mid_Orb_R,YCG:10|Frontal_Mid_Orb_R,AALcode:2212,AALcode:2212,2212,Frontal_Mid_Orb_R,10,0.864,yes
10,YCG:11|Frontal_Inf_Oper_L,YCG:11|Frontal_Inf_Oper_L,AALcode:2301,AALcode:2301,2301,Frontal_Inf_Oper_L,11,0.752,yes
11,YCG:12|Frontal_Inf_Oper_R,YCG:12|Frontal_Inf_Oper_R,AALcode:2302,AALcode:2302,2302,Frontal_Inf_Oper_R,12,0.705,yes
12,YCG:13|Frontal_Inf_Tri_L,YCG:13|Frontal_Inf_Tri_L,AALcode:2311,AALcode:2311,2311,Frontal_Inf_Tri_L,13,0.966,yes
13,YCG:14|Frontal_Inf_Tri_R,YCG:14|Frontal_Inf_Tri_R,AALcode:2312,AALcode:2312,2312,Frontal_Inf_Tri_R,14,0.909,yes
14,YCG:15|Frontal_Inf_Orb_L,YCG:15|Frontal_Inf_Orb_L,AALcode:2321,AALcode:2321,2321,Frontal_Inf_Orb_L,15,0.902,yes
15,YCG:16|Frontal_Inf_Orb_R,YCG:16|Frontal_Inf_Orb_R,AALcode:2322,AALcode:2322,2322,Frontal_Inf_Orb_R,16,0.899,yes
16,YCG:17|Rolandic_Oper_L,YCG:17|Rolandic_Oper_L,AALcode:2331,AALcode:2331,2331,Rolandic_Oper_L,17,0.742,yes
17,YCG:18|Rolandic_Oper_R,YCG:18|Rolandic_Oper_R,AALcode:2332,AALcode:2332,2332,Rolandic_Oper_R,18,0.805,yes
18,YCG:19|Supp_Motor_Area_L,YCG:19|Supp_Motor_Area_L,AALcode:2401,AALcode:2401,2401,Supp_Motor_Area_L,19,0.928,yes
19,YCG:20|Supp_Motor_Area_R,YCG:20|Supp_Motor_Area_R,AALcode:2402,AALcode:2402,2402,Supp_Motor_Area_R,20,0.937,yes
20,YCG:21|Olfactory_L,YCG:21|Olfactory_L,AALcode:2501,AALcode:2501,2501,Olfactory_L,21,0.529,yes
21,YCG:22|Olfactory_R,YCG:22|Olfactory_R,AALcode:2502,AALcode:2502,2502,Olfactory_R,22,0.79,yes
22,YCG:23|Frontal_Sup_Medial_L,YCG:23|Frontal_Sup_Medial_L,AALcode:2601,AALcode:2601,2601,Frontal_Sup_Medial_L,23,0.938,yes
23,YCG:24|Frontal_Sup_Medial_R,YCG:24|Frontal_Sup_Medial_R,AALcode:2602,AALcode:2602,2602,Frontal_Sup_Medial_R,24,0.973,yes
24,YCG:25|Frontal_Med_Orb_L,YCG:25|Frontal_Med_Orb_L,AALcode:2611,AALcode:2611,2611,Frontal_Med_Orb_L,25,0.844,yes
25,YCG:26|Frontal_Med_Orb_R,YCG:26|Frontal_Med_Orb_R,AALcode:2612,AALcode:2612,2612,Frontal_Med_Orb_R,26,0.817,yes
26,YCG:27|Rectus_L,YCG:27|Rectus_L,AALcode:2701,AALcode:2701,2701,Rectus_L,27,0.788,yes
27,YCG:28|Rectus_R,YCG:28|Rectus_R,AALcode:2702,AALcode:2702,2702,Rectus_R,28,0.904,yes
28,YCG:29|Insula_L,YCG:29|Insula_L,AALcode:3001,AALcode:3001,3001,Insula_L,29,0.802,yes
29,YCG:30|Insula_R,YCG:30|Insula_R,AALcode:3002,AALcode:3002,3002,Insula_R,30,0.907,yes
30,YCG:31|Cingulum_Ant_L,YCG:31|Cingulum_Ant_L,AALcode:4001,AALcode:4001,4001,Cingulum_Ant_L,31,0.88,yes
31,YCG:32|Cingulum_Ant_R,YCG:32|Cingulum_Ant_R,AALcode:4002,AALcode:4002,4002,Cingulum_Ant_R,32,0.904,yes
32,YCG:33|Cingulum_Mid_L,YCG:33|Cingulum_Mid_L,AALcode:4011,AALcode:4011,4011,Cingulum_Mid_L,33,0.955,yes
33,YCG:34|Cingulum_Mid_R,YCG:34|Cingulum_Mid_R,AALcode:4012,AALcode:4012,4012,Cingulum_Mid_R,34,0.934,yes
34,YCG:35|Cingulum_Post_L,YCG:35|Cingulum_Post_L,AALcode:4021,AALcode:4021,4021,Cingulum_Post_L,35,0.905,yes
35,YCG:36|Cingulum_Post_R,YCG:36|Cingulum_Post_R,AALcode:4022,AALcode:4022,4022,Cingulum_Post_R,36,1.0,yes
36,YCG:37|Hippocampus_L,YCG:37|Hippocampus_L,AALcode:4101,AALcode:4101,4101,Hippocampus_L,37,0.864,yes
37,YCG:38|Hippocampus_R,YCG:38|Hippocampus_R,AALcode:4102,AALcode:4102,4102,Hippocampus_R,38,0.844,yes
38,YCG:39|ParaHippocampal_L,YCG:39|ParaHippocampal_L,AALcode:4111,AALcode:4111,4111,ParaHippocampal_L,39,0.71,yes
39,YCG:40|ParaHippocampal_R,YCG:40|ParaHippocampal_R,AALcode:4112,AALcode:4112,4112,ParaHippocampal_R,40,0.848,yes
40,YCG:41|Amygdala_L,YCG:41|Amygdala_L,AALcode:4201,AALcode:4201,4201,Amygdala_L,41,0.79,yes
41,YCG:42|Amygdala_R,YCG:42|Amygdala_R,AALcode:4202,AALcode:4202,4202,Amygdala_R,42,0.671,yes
42,YCG:43|Calcarine_L,YCG:43|Calcarine_L,AALcode:5001,AALcode:5001,5001,Calcarine_L,43,0.873,yes
43,YCG:44|Calcarine_R,YCG:44|Calcarine_R,AALcode:5002,AALcode:5002,5002,Calcarine_R,44,0.863,yes
44,YCG:45|Cuneus_L,YCG:45|Cuneus_L,AALcode:5011,AALcode:5011,5011,Cuneus_L,45,0.833,yes
45,YCG:46|Cuneus_R,YCG:46|Cuneus_R,AALcode:5012,AALcode:5012,5012,Cuneus_R,46,0.742,yes
46,YCG:47|Lingual_L,YCG:47|Lingual_L,AALcode:5021,AALcode:5021,5021,Lingual_L,47,0.8,yes
47,YCG:48|Lingual_R,YCG:48|Lingual_R,AALcode:5022,AALcode:5022,5022,Lingual_R,48,0.859,yes
48,YCG:49|Occipital_Sup_L,YCG:49|Occipital_Sup_L,AALcode:5101,AALcode:5101,5101,Occipital_Sup_L,49,0.806,yes
49,YCG:50|Occipital_Sup_R,YCG:50|Occipital_Sup_R,AALcode:5102,AALcode:5102,5102,Occipital_Sup_R,50,0.699,yes
50,YCG:51|Occipital_Mid_L,YCG:51|Occipital_Mid_L,AALcode:5201,AALcode:5201,5201,Occipital_Mid_L,51,0.902,yes
51,YCG:52|Occipital_Mid_R,YCG:52|Occipital_Mid_R,AALcode:5202,AALcode:5202,5202,Occipital_Mid_R,52,0.862,yes
52,YCG:53|Occipital_Inf_L,YCG:53|Occipital_Inf_L,AALcode:5301,AALcode:5301,5301,Occipital_Inf_L,53,0.813,yes
53,YCG:54|Occipital_Inf_R,YCG:54|Occipital_Inf_R,AALcode:5302,AALcode:5302,5302,Occipital_Inf_R,54,0.713,yes
54,YCG:55|Fusiform_L,YCG:55|Fusiform_L,AALcode:5401,AALcode:5401,5401,Fusiform_L,55,0.805,yes
55,YCG:56|Fusiform_R,YCG:56|Fusiform_R,AALcode:5402,AALcode:5402,5402,Fusiform_R,56,0.861,yes
56,YCG:57|Postcentral_L,YCG:57|Postcentral_L,AALcode:6001,AALcode:6001,6001,Postcentral_L,57,0.879,yes
57,YCG:58|Postcentral_R,YCG:58|Postcentral_R,AALcode:6002,AALcode:6002,6002,Postcentral_R,58,0.836,yes
58,YCG:59|Parietal_Sup_L,YCG:59|Parietal_Sup_L,AALcode:6101,AALcode:6101,6101,Parietal_Sup_L,59,0.848,yes
59,YCG:60|Parietal_Sup_R,YCG:60|Parietal_Sup_R,AALcode:6102,AALcode:6102,6102,Parietal_Sup_R,60,0.845,yes
60,YCG:61|Parietal_Inf_L,YCG:61|Parietal_Inf_L,AALcode:6201,AALcode:6201,6201,Parietal_Inf_L,61,0.873,yes
61,YCG:62|Parietal_Inf_R,YCG:62|Parietal_Inf_R,AALcode:6202,AALcode:6202,6202,Parietal_Inf_R,62,0.797,yes
62,YCG:63|SupraMarginal_L,YCG:63|SupraMarginal_L,AALcode:6211,AALcode:6211,6211,SupraMarginal_L,63,0.822,yes
63,YCG:64|SupraMarginal_R,YCG:64|SupraMarginal_R,AALcode:6212,AALcode:6212,6212,SupraMarginal_R,64,0.887,yes
64,YCG:65|Angular_L,YCG:65|Angular_L,AALcode:6221,AALcode:6221,6221,Angular_L,65,0.839,yes
65,YCG:66|Angular_R,YCG:66|Angular_R,AALcode:6222,AALcode:6222,6222,Angular_R,66,0.903,yes
66,YCG:67|Precuneus_L,YCG:67|Precuneus_L,AALcode:6301,AALcode:6301,6301,Precuneus_L,67,0.858,yes
67,YCG:68|Precuneus_R,YCG:68|Precuneus_R,AALcode:6302,AALcode:6302,6302,Precuneus_R,68,0.878,yes
68,YCG:69|Paracentral_Lobule_L,YCG:69|Paracentral_Lobule_L,AALcode:6401,AALcode:6401,6401,Paracentral_Lobule_L,69,0.801,yes
69,YCG:70|Paracentral_Lobule_R,YCG:70|Paracentral_Lobule_R,AALcode:6402,AALcode:6402,6402,Paracentral_Lobule_R,70,0.837,yes
70,YCG:71|Caudate_L,YCG:71|Caudate_L,AALcode:7001,AALcode:7001,7001,Caudate_L,71,0.942,yes
71,YCG:72|Caudate_R,YCG:72|Caudate_R,AALcode:7002,AALcode:7002,7002,Caudate_R,72,0.937,yes
72,YCG:73|Putamen_L,YCG:73|Putamen_L,AALcode:7011,AALcode:7011,7011,Putamen_L,73,0.866,yes
73,YCG:74|Putamen_R,YCG:74|Putamen_R,AALcode:7012,AALcode:7012,7012,Putamen_R,74,0.866,yes
74,YCG:75|Pallidum_L,YCG:75|Pallidum_L,AALcode:7021,AALcode:7021,7021,Pallidum_L,75,0.741,yes
75,YCG:76|Pallidum_R,YCG:76|Pallidum_R,AALcode:7022,AALcode:7022,7022,Pallidum_R,76,0.934,yes
76,YCG:77|Thalamus_L,YCG:77|Thalamus_L,AALcode:7101,AALcode:7101,7101,Thalamus_L,77,0.962,yes
77,YCG:78|Thalamus_R,YCG:78|Thalamus_R,AALcode:7102,AALcode:7102,7102,Thalamus_R,78,0.97,yes
78,YCG:79|Heschl_L,YCG:79|Heschl_L,AALcode:8101,AALcode:8101,8101,Heschl_L,79,0.5,yes
79,YCG:80|Heschl_R,YCG:80|Heschl_R,AALcode:8102,AALcode:8102,8102,Heschl_R,80,0.685,yes
80,YCG:81|Temporal_Sup_L,YCG:81|Temporal_Sup_L,AALcode:8111,AALcode:8111,8111,Temporal_Sup_L,81,0.83,yes
81,YCG:82|Temporal_Sup_R,YCG:82|Temporal_Sup_R,AALcode:8112,AALcode:8112,8112,Temporal_Sup_R,82,0.815,yes
82,YCG:83|Temporal_Pole_Sup_L,YCG:83|Temporal_Pole_Sup_L,AALcode:8121,AALcode:8121,8121,Temporal_Pole_Sup_L,83,0.87,yes
83,YCG:84|Temporal_Pole_Sup_R,YCG:84|Temporal_Pole_Sup_R,AALcode:8122,AALcode:8122,8122,Temporal_Pole_Sup_R,84,0.862,yes
84,YCG:85|Temporal_Mid_L,YCG:85|Temporal_Mid_L,AALcode:8201,AALcode:8201,8201,Temporal_Mid_L,85,0.919,yes
85,YCG:86|Temporal_Mid_R,YCG:86|Temporal_Mid_R,AALcode:8202,AALcode:8202,8202,Temporal_Mid_R,86,0.897,yes
86,YCG:87|Temporal_Pole_Mid_L,YCG:87|Temporal_Pole_Mid_L,AALcode:8211,AALcode:8211,8211,Temporal_Pole_Mid_L,87,0.914,yes
87,YCG:88|Temporal_Pole_Mid_R,YCG:88|Temporal_Pole_Mid_R,AALcode:8212,AALcode:8212,8212,Temporal_Pole_Mid_R,88,0.914,yes
88,YCG:89|Temporal_Inf_L,YCG:89|Temporal_Inf_L,AALcode:8301,AALcode:8301,8301,Temporal_Inf_L,89,0.901,yes
89,YCG:90|Temporal_Inf_R,YCG:90|Temporal_Inf_R,AALcode:8302,AALcode:8302,8302,Temporal_Inf_R,90,0.881,yes
